Time,PPG
55.616,37
55.646,37
55.679,37
55.712,37
55.748,40
55.783,48
55.816,62
55.851,71
55.888,71
55.928,63
55.955,56
55.990,50
56.029,45
56.064,43
56.098,43
56.135,43
56.166,42
56.200,42
56.237,40
56.272,40
56.308,40
56.347,40
56.390,41
56.412,41
56.447,42
56.488,42
56.515,45
56.554,53
56.609,61
56.630,64
56.658,60
56.704,53
56.730,47
56.765,44
56.800,42
56.835,43
56.867,44
56.910,43
56.936,43
56.974,42
57.005,42
57.043,41
57.079,42
57.111,43
57.146,43
57.182,42
57.215,41
57.250,43
57.285,52
57.320,63
57.360,67
57.394,65
57.429,58
57.462,49
57.496,43
57.530,39
57.565,39
57.601,41
57.637,43
57.717,44
57.725,44
57.778,43
57.820,42
57.829,42
57.865,42
57.905,41
57.943,40
57.970,42
58.008,50
58.041,63
58.077,73
58.110,76
58.148,69
58.179,58
58.215,48
58.251,41
58.284,39
58.320,40
58.357,43
58.390,43
58.424,43
58.459,42
58.494,42
58.536,42
58.565,43
58.599,43
58.638,46
58.669,53
58.709,64
58.740,71
58.780,68
58.814,61
58.845,53
58.883,46
58.918,42
58.949,41
58.989,42
59.027,44
59.055,45
59.092,45
59.128,43
59.160,42
59.202,41
59.231,41
59.265,42
59.300,45
59.335,55
59.374,69
59.410,75
59.441,72
59.477,62
59.512,51
59.547,42
59.582,38
59.615,38
59.651,41
59.687,44
59.719,46
59.771,45
59.792,44
59.824,42
59.864,41
59.894,40
59.932,40
59.969,39
60.003,42
60.034,52
60.073,65
60.106,73
60.142,73
60.178,64
60.210,54
60.254,45
60.290,40
60.314,36
60.352,37
60.384,41
60.428,45
60.454,47
60.492,45
60.528,42
60.561,38
60.596,36
60.633,36
60.665,36
60.707,36
60.734,37
60.773,41
60.808,50
60.843,61
60.876,67
60.911,65
60.944,59
60.979,53
61.014,45
61.050,40
61.085,37
61.126,38
61.157,40
61.195,42
61.229,42
61.259,42
61.302,41
61.330,40
61.368,41
61.409,42
61.434,43
61.475,42
61.506,41
61.544,42
61.577,48
61.611,57
61.646,63
61.684,63
61.720,58
61.750,52
61.790,46
61.824,42
61.856,40
61.892,40
61.929,41
61.963,41
61.994,41
62.029,41
62.064,41
62.100,40
62.139,40
62.173,40
62.207,39
62.241,38
62.275,38
62.310,42
62.344,48
62.379,53
62.414,54
62.450,51
62.487,47
62.521,44
62.557,41
62.589,40
62.628,42
62.659,42
62.694,44
62.735,43
62.789,43
62.803,42
62.836,42
62.875,42
